chunk_id,document_id,ticket_pk,chunk_index,chunk_text,chunk_word_count,chunk_token_estimate,bm25_tokens,metadata_json,priority_encoded,urgency_encoded,impact_encoded,retrieval_quality_score
doc_0_chunk_0,doc_0,18ecc0b10c975e6a301035cfacf70a70,0,the payment was deducted from my bank account but the transaction shows failed. the payment was deducted from my bank account but the transaction shows failed.,26,34,"['the', 'payment', 'was', 'deducted', 'from', 'my', 'bank', 'account', 'but', 'the', 'transaction', 'shows', 'failed', 'the', 'payment', 'was', 'deducted', 'from', 'my', 'bank', 'account', 'but', 'the', 'transaction', 'shows', 'failed']","{""ticket_pk"": ""18ecc0b10c975e6a301035cfacf70a70"", ""source_system"": ""customer_support_tickets_200k"", ""priority_encoded"": NaN, ""urgency_encoded"": NaN, ""impact_encoded"": NaN, ""similarity_method"": ""nlp_embedding"", ""corpus_quality_score"": 1.0, ""similarity_confidence"": 0.9}",,,,0.7871794871794872
doc_1_chunk_0,doc_1,c00c291d337d61a00615ab907353bc89,0,i found a bug in the latest update affecting report generation. i found a bug in the latest update affecting report generation.,22,29,"['i', 'found', 'a', 'bug', 'in', 'the', 'latest', 'update', 'affecting', 'report', 'generation', 'i', 'found', 'a', 'bug', 'in', 'the', 'latest', 'update', 'affecting', 'report', 'generation']","{""ticket_pk"": ""c00c291d337d61a00615ab907353bc89"", ""source_system"": ""customer_support_tickets_200k"", ""priority_encoded"": NaN, ""urgency_encoded"": NaN, ""impact_encoded"": NaN, ""similarity_method"": ""nlp_embedding"", ""corpus_quality_score"": 1.0, ""similarity_confidence"": 0.9}",,,,0.7999999999999999
doc_2_chunk_0,doc_2,b2e3cefec6c77072e59e9aca6a525670,0,the application crashes whenever i try to upload a file. the application crashes whenever i try to upload a file.,20,26,"['the', 'application', 'crashes', 'whenever', 'i', 'try', 'to', 'upload', 'a', 'file', 'the', 'application', 'crashes', 'whenever', 'i', 'try', 'to', 'upload', 'a', 'file']","{""ticket_pk"": ""b2e3cefec6c77072e59e9aca6a525670"", ""source_system"": ""customer_support_tickets_200k"", ""priority_encoded"": NaN, ""urgency_encoded"": NaN, ""impact_encoded"": NaN, ""similarity_method"": ""nlp_embedding"", ""corpus_quality_score"": 1.0, ""similarity_confidence"": 0.9}",,,,0.7999999999999999
doc_3_chunk_0,doc_3,9d0370f2cab75492f184db82f51c103f,0,my subscription was cancelled without my request and i need clarification. my subscription was cancelled without my request and i need clarification.,22,29,"['my', 'subscription', 'was', 'cancelled', 'without', 'my', 'request', 'and', 'i', 'need', 'clarification', 'my', 'subscription', 'was', 'cancelled', 'without', 'my', 'request', 'and', 'i', 'need', 'clarification']","{""ticket_pk"": ""9d0370f2cab75492f184db82f51c103f"", ""source_system"": ""customer_support_tickets_200k"", ""priority_encoded"": NaN, ""urgency_encoded"": NaN, ""impact_encoded"": NaN, ""similarity_method"": ""nlp_embedding"", ""corpus_quality_score"": 1.0, ""similarity_confidence"": 0.9}",,,,0.7848484848484848
doc_4_chunk_0,doc_4,ff258a55725d78aa9fac5bdeb364d48b,0,the system is not syncing data across devices properly. the system is not syncing data across devices properly.,18,24,"['the', 'system', 'is', 'not', 'syncing', 'data', 'across', 'devices', 'properly', 'the', 'system', 'is', 'not', 'syncing', 'data', 'across', 'devices', 'properly']","{""ticket_pk"": ""ff258a55725d78aa9fac5bdeb364d48b"", ""source_system"": ""customer_support_tickets_200k"", ""priority_encoded"": NaN, ""urgency_encoded"": NaN, ""impact_encoded"": NaN, ""similarity_method"": ""nlp_embedding"", ""corpus_quality_score"": 1.0, ""similarity_confidence"": 0.9}",,,,0.7999999999999999
doc_5_chunk_0,doc_5,4a2fd89c8c71588afa946976d3656bc8,0,there seems to be a discrepancy in my billing statement for this month. there seems to be a discrepancy in my billing statement for this month.,26,34,"['there', 'seems', 'to', 'be', 'a', 'discrepancy', 'in', 'my', 'billing', 'statement', 'for', 'this', 'month', 'there', 'seems', 'to', 'be', 'a', 'discrepancy', 'in', 'my', 'billing', 'statement', 'for', 'this', 'month']","{""ticket_pk"": ""4a2fd89c8c71588afa946976d3656bc8"", ""source_system"": ""customer_support_tickets_200k"", ""priority_encoded"": NaN, ""urgency_encoded"": NaN, ""impact_encoded"": NaN, ""similarity_method"": ""nlp_embedding"", ""corpus_quality_score"": 1.0, ""similarity_confidence"": 0.9}",,,,0.7999999999999999
doc_6_chunk_0,doc_6,7e6c2d5cbf9afa0c80ff64db61bee901,0,i would like to request a refund for the recent charge. i would like to request a refund for the recent charge.,22,29,"['i', 'would', 'like', 'to', 'request', 'a', 'refund', 'for', 'the', 'recent', 'charge', 'i', 'would', 'like', 'to', 'request', 'a', 'refund', 'for', 'the', 'recent', 'charge']","{""ticket_pk"": ""7e6c2d5cbf9afa0c80ff64db61bee901"", ""source_system"": ""customer_support_tickets_200k"", ""priority_encoded"": NaN, ""urgency_encoded"": NaN, ""impact_encoded"": NaN, ""similarity_method"": ""nlp_embedding"", ""corpus_quality_score"": 1.0, ""similarity_confidence"": 0.9}",,,,0.7999999999999999
doc_7_chunk_0,doc_7,80ed2e55b6191f526027ca326764a0c2,0,two-factor authentication codes are not being delivered to my phone. two-factor authentication codes are not being delivered to my phone.,20,26,"['two', 'factor', 'authentication', 'codes', 'are', 'not', 'being', 'delivered', 'to', 'my', 'phone', 'two', 'factor', 'authentication', 'codes', 'are', 'not', 'being', 'delivered', 'to', 'my', 'phone']","{""ticket_pk"": ""80ed2e55b6191f526027ca326764a0c2"", ""source_system"": ""customer_support_tickets_200k"", ""priority_encoded"": NaN, ""urgency_encoded"": NaN, ""impact_encoded"": NaN, ""similarity_method"": ""nlp_embedding"", ""corpus_quality_score"": 1.0, ""similarity_confidence"": 0.9}",,,,0.7999999999999999
doc_8_chunk_0,doc_8,73818b1c936bd26ddff7bb24eba85bf5,0,the payment was deducted from my bank account but the transaction shows failed. the payment was deducted from my bank account but the transaction shows failed.,26,34,"['the', 'payment', 'was', 'deducted', 'from', 'my', 'bank', 'account', 'but', 'the', 'transaction', 'shows', 'failed', 'the', 'payment', 'was', 'deducted', 'from', 'my', 'bank', 'account', 'but', 'the', 'transaction', 'shows', 'failed']","{""ticket_pk"": ""73818b1c936bd26ddff7bb24eba85bf5"", ""source_system"": ""customer_support_tickets_200k"", ""priority_encoded"": NaN, ""urgency_encoded"": NaN, ""impact_encoded"": NaN, ""similarity_method"": ""nlp_embedding"", ""corpus_quality_score"": 1.0, ""similarity_confidence"": 0.9}",,,,0.7871794871794872
doc_9_chunk_0,doc_9,73e65cc15fb05ff6bee24cb1b0289e68,0,i am unable to access my account after entering the correct credentials. i am unable to access my account after entering the correct credentials.,24,32,"['i', 'am', 'unable', 'to', 'access', 'my', 'account', 'after', 'entering', 'the', 'correct', 'credentials', 'i', 'am', 'unable', 'to', 'access', 'my', 'account', 'after', 'entering', 'the', 'correct', 'credentials']","{""ticket_pk"": ""73e65cc15fb05ff6bee24cb1b0289e68"", ""source_system"": ""customer_support_tickets_200k"", ""priority_encoded"": NaN, ""urgency_encoded"": NaN, ""impact_encoded"": NaN, ""similarity_method"": ""nlp_embedding"", ""corpus_quality_score"": 1.0, ""similarity_confidence"": 0.9}",,,,0.7999999999999999
