document_id,rag_id,problem_text_clean,solution_text_clean,metadata_json,source_system_encoded,category_encoded,language_encoded,product_encoded,priority_encoded,problem_word_count,problem_char_count,problem_avg_word_length,problem_unique_word_ratio,problem_uppercase_ratio,problem_digit_ratio,problem_special_char_ratio,problem_repetition_ratio,problem_complexity_score,solution_word_count,solution_char_count,solution_avg_word_length,solution_unique_word_ratio,solution_uppercase_ratio,solution_digit_ratio,solution_special_char_ratio,solution_repetition_ratio,solution_complexity_score,retrieval_quality_score,escalation_risk_score
doc_0,45d0726cc395d2b3a2b8c9899523e1dc,i am unable to access my account after entering the correct credentials. i am unable to access my account after entering the correct credentials.,security settings updated and customer notified of precautionary measures.,"{""rag_id"": ""45d0726cc395d2b3a2b8c9899523e1dc"", ""source_system"": ""customer_support_tickets_200k"", ""source_dataset"": ""customer_support_tickets_200k"", ""category"": ""performance issue"", ""priority"": ""critical"", ""language"": ""french"", ""product"": ""Subscription Service"", ""is_sla_breached"": 1, ""is_escalated"": 0, ""escalation_risk_level"": ""low"", ""issue_complexity_score"": 4.0, ""sla_risk_score"": 3.75}",0,8,4,8,0,24,145,5.083333333333333,0.5,0.0,0.0,0.013793103448275862,0.5,2.2813333333333334,9,74,7.333333333333333,1.0,0.0,0.0,0.013513513513513514,0.0,3.3513333333333333,2.3125,2.5949
doc_1,504f35fd3b03f048a1984f89fffb08e1,i would like to request a refund for the recent charge. i would like to request a refund for the recent charge.,explained billing breakdown and clarified applicable charges.,"{""rag_id"": ""504f35fd3b03f048a1984f89fffb08e1"", ""source_system"": ""customer_support_tickets_200k"", ""source_dataset"": ""customer_support_tickets_200k"", ""category"": ""login issue"", ""priority"": ""medium"", ""language"": ""french"", ""product"": ""E-commerce Store"", ""is_sla_breached"": 1, ""is_escalated"": 0, ""escalation_risk_level"": ""low"", ""issue_complexity_score"": 2.0, ""sla_risk_score"": 2.8}",0,6,4,5,3,22,111,4.090909090909091,0.5,0.0,0.0,0.018018018018018018,0.5,1.8803636363636365,7,61,7.857142857142857,1.0,0.0,0.0,0.01639344262295082,0.0,3.5568571428571425,1.575,2.625583116883117
doc_2,db7bc1e2f75fa986ee832c31e320a2de,there seems to be a discrepancy in my billing statement for this month. there seems to be a discrepancy in my billing statement for this month.,provided step-by-step troubleshooting instructions and issue resolved.,"{""rag_id"": ""db7bc1e2f75fa986ee832c31e320a2de"", ""source_system"": ""customer_support_tickets_200k"", ""source_dataset"": ""customer_support_tickets_200k"", ""category"": ""refund request"", ""priority"": ""high"", ""language"": ""english"", ""product"": ""Cloud Storage"", ""is_sla_breached"": 0, ""is_escalated"": 0, ""escalation_risk_level"": ""low"", ""issue_complexity_score"": 7.0, ""sla_risk_score"": 4.0}",0,10,3,4,1,26,143,4.538461538461538,0.5,0.0,0.0,0.013986013986013986,0.5,2.0673846153846154,7,70,9.142857142857142,1.0,0.0,0.0,0.04285714285714286,0.0,4.071142857142857,3.125,3.7207791208791208
doc_3,01d7f2addbcc200f88368695230ea06e,the system is not syncing data across devices properly. the system is not syncing data across devices properly.,bug logged internally and workaround shared with the customer.,"{""rag_id"": ""01d7f2addbcc200f88368695230ea06e"", ""source_system"": ""customer_support_tickets_200k"", ""source_dataset"": ""customer_support_tickets_200k"", ""category"": ""payment problem"", ""priority"": ""low"", ""language"": ""chinese"", ""product"": ""Analytics Dashboard"", ""is_sla_breached"": 0, ""is_escalated"": 1, ""escalation_risk_level"": ""low"", ""issue_complexity_score"": 6.0, ""sla_risk_score"": 2.95}",0,7,0,1,2,18,111,5.222222222222222,0.5,0.0,0.0,0.018018018018018018,0.5,2.3248888888888892,9,62,6.0,1.0,0.0,0.0,0.016129032258064516,0.0,2.818,2.6125,3.3614333333333333
doc_4,aa219338e9e467aadb53d3d1a9026de7,i am unable to access my account after entering the correct credentials. i am unable to access my account after entering the correct credentials.,provided step-by-step troubleshooting instructions and issue resolved.,"{""rag_id"": ""aa219338e9e467aadb53d3d1a9026de7"", ""source_system"": ""customer_support_tickets_200k"", ""source_dataset"": ""customer_support_tickets_200k"", ""category"": ""security concern"", ""priority"": ""low"", ""language"": ""german"", ""product"": ""Cloud Storage"", ""is_sla_breached"": 1, ""is_escalated"": 1, ""escalation_risk_level"": ""low"", ""issue_complexity_score"": 7.0, ""sla_risk_score"": 3.3}",0,12,5,4,2,24,145,5.083333333333333,0.5,0.0,0.0,0.013793103448275862,0.5,2.2813333333333334,7,70,9.142857142857142,1.0,0.0,0.0,0.04285714285714286,0.0,4.071142857142857,2.95,3.8628714285714287
doc_5,a4ca23192e2519a67b168945f7e6437a,the application crashes whenever i try to upload a file. the application crashes whenever i try to upload a file.,bug logged internally and workaround shared with the customer.,"{""rag_id"": ""a4ca23192e2519a67b168945f7e6437a"", ""source_system"": ""customer_support_tickets_200k"", ""source_dataset"": ""customer_support_tickets_200k"", ""category"": ""security concern"", ""priority"": ""critical"", ""language"": ""spanish"", ""product"": ""Cloud Storage"", ""is_sla_breached"": 1, ""is_escalated"": 1, ""escalation_risk_level"": ""low"", ""issue_complexity_score"": 3.0, ""sla_risk_score"": 3.1}",0,12,7,4,0,20,113,4.7,0.5,0.0,0.0,0.017699115044247787,0.5,2.12,9,62,6.0,1.0,0.0,0.0,0.016129032258064516,0.0,2.818,1.9,2.1107
doc_6,045442b0bd89b22bb01af42157cd0977,the payment was deducted from my bank account but the transaction shows failed. the payment was deducted from my bank account but the transaction shows failed.,payment gateway timeout issue fixed and monitoring implemented.,"{""rag_id"": ""045442b0bd89b22bb01af42157cd0977"", ""source_system"": ""customer_support_tickets_200k"", ""source_dataset"": ""customer_support_tickets_200k"", ""category"": ""performance issue"", ""priority"": ""high"", ""language"": ""english"", ""product"": ""Subscription Service"", ""is_sla_breached"": 0, ""is_escalated"": 0, ""escalation_risk_level"": ""low"", ""issue_complexity_score"": 1.0, ""sla_risk_score"": 2.5}",0,8,3,8,1,26,159,5.153846153846154,0.46153846153846156,0.0,0.0,0.012578616352201259,0.5384615384615384,2.298153846153846,8,63,7.0,1.0,0.0,0.0,0.015873015873015872,0.0,3.216,1.2403846153846154,1.8271230769230768
doc_7,060acca48194f268f6fc39045a064d37,there seems to be a discrepancy in my billing statement for this month. there seems to be a discrepancy in my billing statement for this month.,payment gateway timeout issue fixed and monitoring implemented.,"{""rag_id"": ""060acca48194f268f6fc39045a064d37"", ""source_system"": ""customer_support_tickets_200k"", ""source_dataset"": ""customer_support_tickets_200k"", ""category"": ""feature request"", ""priority"": ""high"", ""language"": ""german"", ""product"": ""API Service"", ""is_sla_breached"": 0, ""is_escalated"": 0, ""escalation_risk_level"": ""low"", ""issue_complexity_score"": 3.0, ""sla_risk_score"": 3.2}",0,4,5,0,1,26,143,4.538461538461538,0.5,0.0,0.0,0.013986013986013986,0.5,2.0673846153846154,8,63,7.0,1.0,0.0,0.0,0.015873015873015872,0.0,3.216,1.925,2.4325076923076927
doc_8,b98b44201fc9a134b047863db7349ad6,two-factor authentication codes are not being delivered to my phone. two-factor authentication codes are not being delivered to my phone.,provided step-by-step troubleshooting instructions and issue resolved.,"{""rag_id"": ""b98b44201fc9a134b047863db7349ad6"", ""source_system"": ""customer_support_tickets_200k"", ""source_dataset"": ""customer_support_tickets_200k"", ""category"": ""bug report"", ""priority"": ""medium"", ""language"": ""french"", ""product"": ""E-commerce Store"", ""is_sla_breached"": 0, ""is_escalated"": 0, ""escalation_risk_level"": ""low"", ""issue_complexity_score"": 4.0, ""sla_risk_score"": 2.9}",0,1,4,5,3,20,137,5.9,0.5,0.0,0.0,0.029197080291970802,0.5,2.6000000000000005,7,70,9.142857142857142,1.0,0.0,0.0,0.04285714285714286,0.0,4.071142857142857,2.1,3.3306714285714287
doc_9,7d9d9c5ebfd3ae474fab25caea8dd250,i found a bug in the latest update affecting report generation. i found a bug in the latest update affecting report generation.,the duplicate charge was reversed and refund processed within 3-5 business days.,"{""rag_id"": ""7d9d9c5ebfd3ae474fab25caea8dd250"", ""source_system"": ""customer_support_tickets_200k"", ""source_dataset"": ""customer_support_tickets_200k"", ""category"": ""feature request"", ""priority"": ""medium"", ""language"": ""german"", ""product"": ""Subscription Service"", ""is_sla_breached"": 1, ""is_escalated"": 1, ""escalation_risk_level"": ""low"", ""issue_complexity_score"": 6.0, ""sla_risk_score"": 3.3}",0,4,5,8,3,22,127,4.818181818181818,0.5,0.0,0.0,0.015748031496062992,0.5,2.1712727272727275,12,80,5.75,1.0,0.0,0.025,0.025,0.0,2.724,2.7,3.644290909090909
